,influence1,influence2,influence3,influence4
373,Inspired new interests,,influence on personality,
374,,,enriched life or general positive influence,
375,,,enriched life or general positive influence,
376,carries a towel,don't take anything to seriously,,
377,,Unsure or not much,,
378,References,,enriched life or general positive influence,
379,,,,
380,,changed perspective,appreciate the comedy or absurdity of life,
381,References,,,
382,,changed perspective,appreciate the comedy or absurdity of life,
383,,Unsure or not much,,
384,References,,,
385,big influence,changed perspective,,
386,big influence,,,
387,42,,appreciate the comedy or absurdity of life,
388,42,,,influences career
389,,Unsure or not much,,
390,,provided comfort in hard times,,
391,References,tattoo,,
392,,tattoo,,
393,,changed perspective,,
394,,don't take anything to seriously,,
395,Inspired new interests,changed perspective,,
396,Inspired new interests,changed perspective,,
397,,Unsure or not much,,
398,,changed perspective,appreciate the comedy or absurdity of life,
399,,changed perspective,enriched life or general positive influence,
400,,Unsure or not much,,
401,,changed perspective,influence on personality,
402,Inspired new interests,,,
403,,Atheism,,
404,,Unsure or not much,,
405,Don't panic,changed perspective,influence on personality,
406,,,influence on personality,
407,,don't take anything to seriously,,
408,Don't panic,,,
409,,feeling of community,appreciate the comedy or absurdity of life,
410,,,enriched life or general positive influence,
411,,changed perspective,enriched life or general positive influence,
412,Don't panic,changed perspective,,
413,,Unsure or not much,,
414,,,,
415,Inspired new interests,Unsure or not much,influence on personality,
416,,changed perspective,enriched life or general positive influence,
417,Don't panic,,,
418,,changed perspective,,
419,,provided comfort in hard times,appreciate the comedy or absurdity of life,
420,References,changed perspective,appreciate the comedy or absurdity of life,
421,,,enriched life or general positive influence,
422,References,Unsure or not much,,
423,References,Unsure or not much,,
424,,changed perspective,,
425,Don't panic,,,
426,,,enriched life or general positive influence,
427,References,feeling of community,enriched life or general positive influence,
428,,changed perspective,influence on personality,
429,42,,,
430,,,enriched life or general positive influence,
431,,changed perspective,,
432,42,,enriched life or general positive influence,
433,big influence,,,
434,42,,enriched life or general positive influence,
435,,,appreciate the comedy or absurdity of life,
436,,don't take anything to seriously,,
437,,,,
438,,,,
439,References,,,
440,,changed perspective,,
441,,provided comfort in hard times,,
442,References,changed perspective,,
443,References,,,
444,References,changed perspective,,
445,Inspired new interests,,,
446,Don't panic,,,
447,Inspired new interests,,,
448,,Unsure or not much,enriched life or general positive influence,
449,,don't take anything to seriously,,
450,,,,
451,,provided comfort in hard times,enriched life or general positive influence,
452,,don't take anything to seriously,,
453,,Unsure or not much,,
454,,don't take anything to seriously,,
455,Don't panic,changed perspective,,
456,References,changed perspective,,
457,Don't panic,,,
458,Don't panic,,enriched life or general positive influence,
459,Inspired new interests,,,
460,Inspired new interests,changed perspective,,
461,,,influence on personality,
462,References,changed perspective,appreciate the comedy or absurdity of life,
463,References,Unsure or not much,,
464,Inspired new interests,,,
465,,Unsure or not much,,
466,Inspired new interests,,,
467,References,,,
468,Inspired new interests,,,
469,,changed perspective,influence on personality,
470,,changed perspective,influence on personality,
471,,don't take anything to seriously,,
472,,changed perspective,influence on personality,
473,,changed perspective,appreciate the comedy or absurdity of life,
474,References,,,
475,,,appreciate the comedy or absurdity of life,
476,Inspired new interests,,,
477,,changed perspective,,
478,,,,
479,,Unsure or not much,,
480,,,influence on personality,
481,,,,
482,,changed perspective,appreciate the comedy or absurdity of life,
483,Inspired new interests,Unsure or not much,,
484,Don't panic,changed perspective,,
485,,Unsure or not much,,
486,,don't take anything to seriously,,
487,References,,,
488,carries a towel,,,
489,,Unsure or not much,,
490,,,appreciate the comedy or absurdity of life,
491,,changed perspective,,
492,References,,,
493,References,Unsure or not much,,
494,,,,
495,Inspired new interests,,,
496,References,feeling of community,,influences career
497,,changed perspective,,
498,,,appreciate the comedy or absurdity of life,
499,,,enriched life or general positive influence,
500,Inspired new interests,,,
501,,,influence on personality,
502,carries a towel,,,
503,,,,
504,Inspired new interests,,,influences career
505,big influence,feeling of community,appreciate the comedy or absurdity of life,
506,Inspired new interests,,,influences career
507,,,,
508,,Unsure or not much,,
509,Don't panic,,,
510,Inspired new interests,,,influences career
511,,changed perspective,appreciate the comedy or absurdity of life,
512,,changed perspective,,
513,,,enriched life or general positive influence,
514,References,entered fandom,,
515,Don't panic,changed perspective,,
516,,changed perspective,,
517,,,influence on personality,
518,,,,
519,References,,,
520,,,appreciate the comedy or absurdity of life,
521,,Unsure or not much,,influences career
522,,,,
523,,,,
524,References,,,
525,,feeling of community,,
526,Don't panic,changed perspective,,
527,carries a towel,,appreciate the comedy or absurdity of life,
528,,,,influences career
529,,,,
530,References,,,
531,,,appreciate the comedy or absurdity of life,influences career
532,References,,,
533,Inspired new interests,,,
534,,feeling of community,,
535,,feeling of community,,
536,,changed perspective,,
537,,don't take anything to seriously,influence on personality,
538,,,,
539,,,,
540,,changed perspective,appreciate the comedy or absurdity of life,
541,,,enriched life or general positive influence,
542,,,influence on personality,
543,Inspired new interests,,influence on personality,
544,Inspired new interests,,,
545,,,influence on personality,
546,,changed perspective,,
547,Don't panic,changed perspective,,
548,,,,influences career
549,References,Unsure or not much,,
550,,,enriched life or general positive influence,
551,,,,
552,Inspired new interests,Unsure or not much,,influences career
553,Inspired new interests,changed perspective,,
554,Don't panic,don't take anything to seriously,appreciate the comedy or absurdity of life,
555,Inspired new interests,changed perspective,enriched life or general positive influence,
556,carries a towel,provided comfort in hard times,appreciate the comedy or absurdity of life,
557,,,enriched life or general positive influence,
558,Don't panic,,,
559,Don't panic,don't take anything to seriously,,
560,,feeling of community,,
561,References,feeling of community,,
562,Don't panic,changed perspective,,
563,big influence,provided comfort in hard times,,
564,,changed perspective,,
565,,changed perspective,,
566,Don't panic,don't take anything to seriously,,
567,Inspired new interests,changed perspective,,
568,,changed perspective,appreciate the comedy or absurdity of life,
569,Inspired new interests,,,
570,,,appreciate the comedy or absurdity of life,
571,42,,,
572,,,appreciate the comedy or absurdity of life,
573,Inspired new interests,,,
574,,changed perspective,enriched life or general positive influence,
575,Don't panic,,,
576,big influence,,,
577,,changed perspective,,
578,Inspired new interests,,,influences career
579,42,,,
580,,Unsure or not much,,
581,42,changed perspective,,
582,,Unsure or not much,,
583,Inspired new interests,don't take anything to seriously,,
584,References,,,
585,Inspired new interests,changed perspective,,
586,,,,influences career
587,,Unsure or not much,,influences career
588,,changed perspective,influence on personality,
589,,,,
590,42,feeling of community,,
591,,,,
592,carries a towel,,,
593,References,Unsure or not much,,
594,42,,,
595,,Unsure or not much,,
596,big influence,entered fandom,,
